year,month,Evapotranspiration,LeafAreaIndex,NetPrimaryProductivity,TotalPrecipitation,SoilWaterContent,AverageTemperature,Transpiration,orog_pm1,orog_pm5,SoilCarbon,WetLandFraction
2000,1,107.82,6.28,128.8,69,249.58,24.1,66.76,13.26743,69.076363,9723.9,0.009042
2000,2,105.95,5.94,105.3,180,248.08,22.5,52.14,13.26743,69.076363,9723.9,0.009184
2000,3,93.76,5.45,103,101,302.63,20.1,45.4,13.26743,69.076363,9723.9,0.008972
2000,4,51.37,3.99,57,79,313.31,17.2,23.2,13.26743,69.076363,9723.9,0.008195
2000,5,24,3.55,32.5,190,347.04,12.2,10.98,13.26743,69.076363,9723.9,0.049571
2000,6,19.91,3.15,22.8,26,353.42,11,9.53,13.26743,69.076363,9723.9,0.066983
2000,7,9.31,2.73,11.4,5,348.2,7.3,5.46,13.26743,69.076363,9723.9,0.05467
2000,8,18.31,2.31,22.9,19,349.47,10.3,9.43,13.26743,69.076363,9723.9,0.049236
2000,9,29.66,1.87,36.1,26,340.75,13.2,15.28,13.26743,69.076363,9723.9,0.044828
2000,10,64.82,4.26,8,238,354.97,15.2,29.25,13.26743,69.076363,9723.9,0.085637
2000,11,104.71,5.94,123.2,102,338.74,17.8,49.73,13.26743,69.076363,9723.9,0.101572
2000,12,107.79,6.03,154.9,36,308.41,22,71.34,13.26743,69.076363,9723.9,0.050965
2001,1,124.57,5.8,135.7,139,268.22,23.5,64.94,13.26743,69.076363,9606.2,0.02879
2001,2,132.47,5.5,134.8,181,291.37,25,70.54,13.26743,69.076363,9606.2,0.012085
2001,3,101.37,5.1,120.8,259,335.76,21.3,47.21,13.26743,69.076363,9606.2,0.038775
2001,4,45.76,3.84,61.9,93,351.5,16,21.81,13.26743,69.076363,9606.2,0.069823
2001,5,24.11,3.42,34.9,31,355.89,12.5,11.6,13.26743,69.076363,9606.2,0.071459
2001,6,16.67,3.04,22,20,352.92,10.7,8.45,13.26743,69.076363,9606.2,0.075811
